Date,Closing Price,Change,Trading Volume (shr),Trading Value (KHR),Opening,High,Low,Market Cap. (Mil.KHR),Full Market Cap. (Mil.KHR)
23/11/2023,"2,390",,3,"7,170","2,390","2,390","2,390","179,119","179,119"
22/11/2023,"2,240",,185,"415,180","2,270","2,380","2,240","167,877","167,877"
21/11/2023,"2,240",,27,"60,910","2,450","2,450","2,230","167,877","167,877"
20/11/2023,"2,300",,178,"412,980","2,300","2,370","2,300","172,374","172,374"
17/11/2023,"2,280",,100,"228,460","2,390","2,390","2,280","170,875","170,875"
16/11/2023,"2,370",,161,"372,260","2,450","2,450","2,300","177,620","177,620"
15/11/2023,"2,310",,"1,785","4,169,640","2,330","2,370","2,310","173,123","173,123"
14/11/2023,"2,310",,8,"18,460","2,300","2,330","2,300","173,123","173,123"
13/11/2023,"2,300",,211,"487,420","2,320","2,320","2,300","172,374","172,374"
10/11/2023,"2,320",,73,"169,360","2,320","2,320","2,320","173,872","173,872"
08/11/2023,"2,330",,136,"314,730","2,320","2,330","2,300","174,622","174,622"
07/11/2023,"2,290",,206,"463,620","2,250","2,290","2,250","171,624","171,624"
06/11/2023,"2,310",,9,"20,800","2,320","2,320","2,300","173,123","173,123"
03/11/2023,"2,320",,878,"1,973,450","2,270","2,360","2,220","173,872","173,872"
02/11/2023,"2,440",,653,"1,549,400","2,230","2,440","2,230","182,866","182,866"
01/11/2023,"2,410",,454,"1,041,080","2,300","2,430","2,290","180,617","180,617"
31/10/2023,"2,300",,159,"366,810","2,320","2,330","2,300","172,374","172,374"
30/10/2023,"2,330",,26,"60,580","2,330","2,330","2,330","174,622","174,622"
27/10/2023,"2,330",,56,"130,080","2,330","2,330","2,290","174,622","174,622"
26/10/2023,"2,330",,15,"35,120","2,380","2,380","2,330","174,622","174,622"
25/10/2023,"2,400",,41,"97,820","2,450","2,450","2,290","179,868","179,868"
24/10/2023,"2,450",,123,"287,400","2,350","2,450","2,300","183,615","183,615"
23/10/2023,"2,340",,20,"46,620","2,330","2,340","2,330","175,371","175,371"
20/10/2023,"2,340",,"1,235","2,854,830","2,310","2,350","2,250","175,371","175,371"
19/10/2023,"2,310",,90,"224,390","2,500","2,500","2,300","173,123","173,123"
18/10/2023,"2,310",,67,"154,110","2,300","2,310","2,300","173,123","173,123"
17/10/2023,"2,310",,214,"494,760","2,320","2,320","2,270","173,123","173,123"
16/10/2023,"2,320",,116,"269,120","2,320","2,320","2,320","173,872","173,872"
12/10/2023,"2,330",,120,"279,600","2,330","2,330","2,330","174,622","174,622"
11/10/2023,"2,330",,152,"342,170","2,280","2,330","2,250","174,622","174,622"
10/10/2023,"2,280",,134,"303,610","2,280","2,280","2,240","170,875","170,875"
09/10/2023,"2,280",,191,"435,230","2,290","2,290","2,260","170,875","170,875"
06/10/2023,"2,290",,155,"354,270","2,310","2,310","2,230","171,624","171,624"
05/10/2023,"2,310",,"1,284","2,886,550","2,340","2,350","2,230","173,123","173,123"
04/10/2023,"2,330",,190,"442,460","2,330","2,330","2,300","174,622","174,622"
03/10/2023,"2,330",,98,"228,070","2,330","2,350","2,320","174,622","174,622"
02/10/2023,"2,330",,"1,941","4,413,530","2,430","2,440","2,220","174,622","174,622"
29/09/2023,"2,430",,31,"74,290","2,430","2,430","2,390","182,116","182,116"
28/09/2023,"2,430",,6,"14,330","2,380","2,430","2,380","182,116","182,116"
27/09/2023,"2,370",,61,"149,270","2,450","2,450","2,370","177,620","177,620"
26/09/2023,"2,400",,"2,102","4,937,990","2,400","2,420","2,260","179,868","179,868"
25/09/2023,"2,490",,259,"627,240","2,490","2,490","2,400","186,613","186,613"
