Date,Closing Price,Change,Trading Volume (shr),Trading Value (KHR),Opening,High,Low,Market Cap. (Mil.KHR),Full Market Cap. (Mil.KHR)
24/04/2024,"12,600",,85,"1,060,240","12,440","12,600","12,440","260,623","1,442,114"
23/04/2024,"12,380",,338,"4,213,340","12,520","12,520","12,340","256,072","1,416,934"
22/04/2024,"12,500",,115,"1,438,700","12,580","12,580","12,500","258,555","1,430,669"
19/04/2024,"12,500",,17,"211,560","12,520","12,520","12,360","258,555","1,430,669"
18/04/2024,"12,520",,123,"1,540,760","12,680","12,680","12,520","258,968","1,432,958"
17/04/2024,"12,680",,234,"2,927,760","12,320","12,680","12,320","262,278","1,451,270"
12/04/2024,"12,680",,227,"2,877,020","12,780","12,780","12,600","262,278","1,451,270"
11/04/2024,"12,740",,114,"1,429,820","12,520","12,740","12,520","263,519","1,458,137"
10/04/2024,"12,800",,139,"1,772,200","12,900","12,900","12,700","264,760","1,465,005"
09/04/2024,"12,900",,70,"901,280","12,800","12,920","12,800","266,828","1,476,450"
08/04/2024,"12,800",,319,"4,043,180","12,900","12,900","12,600","264,760","1,465,005"
05/04/2024,"12,900",,673,"8,482,620","13,180","13,180","12,300","266,828","1,476,450"
04/04/2024,"13,180",,522,"6,798,360","13,200","13,320","13,000","272,620","1,508,497"
03/04/2024,"13,200",,36,"474,400","13,200","13,200","13,040","273,034","1,510,786"
02/04/2024,"13,180",,29,"381,800","13,200","13,200","13,060","272,620","1,508,497"
01/04/2024,"13,160",,263,"3,441,700","12,980","13,200","12,980","272,206","1,506,208"
29/03/2024,"13,220",,108,"1,427,820","13,220","13,240","13,220","273,447","1,513,075"
28/03/2024,"13,240",,278,"3,661,040","13,240","13,280","13,160","273,861","1,515,364"
27/03/2024,"13,240",,194,"2,555,000","13,220","13,240","13,100","273,861","1,515,364"
26/03/2024,"13,260",,"1,670","21,955,160","13,400","13,400","13,000","274,275","1,517,653"
25/03/2024,"13,400",,196,"2,619,320","13,480","13,480","13,300","277,170","1,533,677"
22/03/2024,"13,400",,106,"1,424,540","13,500","13,500","13,400","277,170","1,533,677"
