Date,Closing Price,Change,Trading Volume (shr),Trading Value (KHR),Opening,High,Low,Market Cap. (Mil.KHR),Full Market Cap. (Mil.KHR)
13/03/2024,"7,180",60,"3,230","23,198,040","7,200","7,240","7,120","624,467","3,432,572"
12/03/2024,"7,240",20,633,"4,571,580","7,260","7,260","7,200","629,686","3,461,257"
11/03/2024,"7,260",20,381,"2,760,800","7,260","7,260","7,240","631,425","3,470,818"
07/03/2024,"7,280",40,"3,265","23,538,620","7,220","7,280","7,200","633,165","3,480,379"
06/03/2024,"7,240",40,"3,310","24,030,520","7,260","7,280","7,200","629,686","3,461,257"
05/03/2024,"7,280",0,584,"4,223,620","7,260","7,280","7,200","633,165","3,480,379"
04/03/2024,"7,280",0,920,"6,690,820","7,280","7,280","7,260","633,165","3,480,379"
01/03/2024,"7,280",0,743,"5,403,600","7,300","7,300","7,260","633,165","3,480,379"
29/02/2024,"7,280",0,863,"6,282,180","7,280","7,280","7,260","633,165","3,480,379"
28/02/2024,"7,280",20,"1,980","14,411,780","7,260","7,280","7,260","633,165","3,480,379"
27/02/2024,"7,260",20,900,"6,541,220","7,280","7,280","7,240","631,425","3,470,818"
26/02/2024,"7,280",0,154,"1,118,360","7,240","7,300","7,240","633,165","3,480,379"
23/02/2024,"7,280",0,593,"4,297,880","7,220","7,280","7,220","633,165","3,480,379"
22/02/2024,"7,280",0,204,"1,479,960","7,280","7,280","7,240","633,165","3,480,379"
21/02/2024,"7,280",0,777,"5,640,440","7,280","7,280","7,200","633,165","3,480,379"
20/02/2024,"7,280",0,88,"639,240","7,280","7,280","7,240","633,165","3,480,379"
19/02/2024,"7,280",20,"6,654","48,435,540","7,280","7,300","7,260","633,165","3,480,379"
16/02/2024,"7,300",0,616,"4,480,440","7,280","7,300","7,260","634,904","3,489,941"
15/02/2024,"7,300",60,"4,330","31,591,980","7,240","7,380","7,220","634,904","3,489,941"
14/02/2024,"7,240",0,"2,247","16,211,460","7,240","7,240","7,200","629,686","3,461,257"
13/02/2024,"7,240",20,"1,054","7,633,600","7,260","7,260","7,220","629,686","3,461,257"
12/02/2024,"7,260",20,723,"5,248,980","7,260","7,260","7,260","631,425","3,470,818"
09/02/2024,"7,280",20,"4,011","28,911,880","7,280","7,300","7,200","633,165","3,480,379"
08/02/2024,"7,260",20,286,"2,076,620","7,280","7,280","7,240","631,425","3,470,818"
07/02/2024,"7,280",20,205,"1,487,200","7,260","7,280","7,240","633,165","3,480,379"
06/02/2024,"7,260",20,"4,174","30,235,200","7,280","7,280","7,240","631,425","3,470,818"
05/02/2024,"7,280",0,266,"1,932,620","7,280","7,280","7,260","633,165","3,480,379"
02/02/2024,"7,280",0,603,"4,381,400","7,280","7,280","7,260","633,165","3,480,379"
01/02/2024,"7,280",0,126,"917,280","7,280","7,280","7,280","633,165","3,480,379"
31/01/2024,"7,280",0,28,"203,640","7,260","7,280","7,260","633,165","3,480,379"
30/01/2024,"7,280",20,304,"2,210,380","7,280","7,280","7,260","633,165","3,480,379"
29/01/2024,"7,260",0,"1,172","8,533,020","7,280","7,300","7,260","631,425","3,470,818"
26/01/2024,"7,260",40,74,"536,840","7,240","7,260","7,240","631,425","3,470,818"
25/01/2024,"7,220",0,"1,642","11,910,960","7,240","7,300","7,220","627,946","3,451,695"
24/01/2024,"7,220",60,"5,921","42,645,920","7,280","7,280","7,180","627,946","3,451,695"
23/01/2024,"7,280",0,267,"1,942,600","7,280","7,280","7,260","633,165","3,480,379"
22/01/2024,"7,280",0,798,"5,795,040","7,280","7,280","7,260","633,165","3,480,379"
19/01/2024,"7,280",40,71,"516,880","7,280","7,280","7,280","633,165","3,480,379"
18/01/2024,"7,240",0,"2,332","16,845,400","7,240","7,280","7,200","629,686","3,461,257"
17/01/2024,"7,240",0,"21,553","155,217,820","7,200","7,280","7,200","629,686","3,461,257"
16/01/2024,"7,240",40,"1,218","8,843,680","7,280","7,280","7,240","629,686","3,461,257"
15/01/2024,"7,280",0,"2,337","16,996,780","7,280","7,300","7,240","633,165","3,480,379"
12/01/2024,"7,280",0,879,"6,384,980","7,280","7,280","7,260","633,165","3,480,379"
11/01/2024,"7,280",0,175,"1,271,000","7,280","7,280","7,260","633,165","3,480,379"
10/01/2024,"7,280",0,"3,195","23,197,800","7,260","7,280","7,260","633,165","3,480,379"
09/01/2024,"7,280",0,"1,317","9,544,100","7,260","7,280","7,220","633,165","3,480,379"
08/01/2024,"7,280",0,451,"3,281,000","7,280","7,280","7,260","633,165","3,480,379"
05/01/2024,"7,280",0,971,"7,068,100","7,260","7,280","7,260","633,165","3,480,379"
04/01/2024,"7,280",40,285,"2,068,860","7,240","7,280","7,240","633,165","3,480,379"
03/01/2024,"7,240",40,"1,838","13,349,820","7,300","7,300","7,240","629,686","3,461,257"
02/01/2024,"7,280",0,938,"6,821,960","7,280","7,280","7,240","633,165","3,480,379"
29/12/2023,"7,280",0,"4,520","32,820,940","7,240","7,280","7,240","633,165","3,480,379"
28/12/2023,"7,280",0,"1,697","12,353,920","7,280","7,300","7,260","633,165","3,480,379"
27/12/2023,"7,280",20,"2,390","17,416,620","7,300","7,300","7,280","633,165","3,480,379"
26/12/2023,"7,300",20,"4,511","32,848,700","7,280","7,300","7,260","634,904","3,489,941"
25/12/2023,"7,280",20,"2,623","19,134,420","7,280","7,300","7,280","633,165","3,480,379"
22/12/2023,"7,300",40,"2,761","20,100,400","7,280","7,300","7,280","634,904","3,489,941"
21/12/2023,"7,260",20,"2,917","21,211,620","7,280","7,280","7,240","631,425","3,470,818"
20/12/2023,"7,280",40,"33,510","241,758,500","7,320","7,320","7,180","633,165","3,480,379"
19/12/2023,"7,320",40,"2,911","21,251,180","7,280","7,320","7,280","636,644","3,499,502"
18/12/2023,"7,280",0,"3,448","24,951,960","7,280","7,280","7,220","633,165","3,480,379"
15/12/2023,"7,280",20,"7,418","53,951,040","7,300","7,360","7,200","633,165","3,480,379"
14/12/2023,"7,300",0,"1,766","12,866,440","7,300","7,300","7,280","634,904","3,489,941"
13/12/2023,"7,300",20,"1,806","13,147,700","7,280","7,300","7,280","634,904","3,489,941"
12/12/2023,"7,280",0,387,"2,819,180","7,300","7,380","7,260","633,165","3,480,379"
11/12/2023,"7,280",20,761,"5,536,780","7,280","7,300","7,260","633,165","3,480,379"
08/12/2023,"7,300",20,832,"6,067,080","7,280","7,300","7,260","634,904","3,489,941"
07/12/2023,"7,280",0,660,"4,792,580","7,280","7,280","7,240","633,165","3,480,379"
06/12/2023,"7,280",0,782,"5,688,660","7,280","7,300","7,260","633,165","3,480,379"
05/12/2023,"7,280",0,935,"6,802,140","7,280","7,300","7,260","633,165","3,480,379"
04/12/2023,"7,280",0,"1,167","8,444,120","7,280","7,280","7,200","633,165","3,480,379"
01/12/2023,"7,280",80,"12,151","87,446,880","7,160","7,300","7,160","633,165","3,480,379"
30/11/2023,"7,200",20,"1,801","12,961,120","7,180","7,200","7,180","626,207","3,442,134"
29/11/2023,"7,180",0,"2,870","20,605,760","7,180","7,200","7,160","624,467","3,432,572"
24/11/2023,"7,180",20,"2,287","16,436,200","7,200","7,200","7,180","624,467","3,432,572"
23/11/2023,"7,200",0,544,"3,912,880","7,200","7,200","7,180","626,207","3,442,134"
22/11/2023,"7,200",0,"6,955","49,939,600","7,200","7,200","7,180","626,207","3,442,134"
21/11/2023,"7,200",0,858,"6,177,600","7,200","7,200","7,200","626,207","3,442,134"
20/11/2023,"7,200",0,"1,954","14,022,000","7,200","7,200","7,160","626,207","3,442,134"
17/11/2023,"7,200",60,"7,159","51,501,260","7,200","7,200","7,160","626,207","3,442,134"
16/11/2023,"7,260",20,240,"1,744,600","7,280","7,280","7,260","631,425","3,470,818"
15/11/2023,"7,280",0,"1,509","10,971,060","7,280","7,300","7,260","633,165","3,480,379"
14/11/2023,"7,280",0,"2,080","15,165,620","7,280","7,300","7,260","633,165","3,480,379"
