Date,Closing Price,Change,Trading Volume (shr),Trading Value (KHR),Opening,High,Low,Market Cap. (Mil.KHR),Full Market Cap. (Mil.KHR)
29/03/2024,"2,070",,995,"2,059,250","2,070","2,070","2,060","148,781","148,781"
28/03/2024,"2,070",,"1,862","3,837,590","2,050","2,070","2,050","148,781","148,781"
27/03/2024,"2,070",,"6,483","13,233,230","2,070","2,080","2,010","148,781","148,781"
26/03/2024,"2,070",,"4,469","9,259,670","2,090","2,090","2,070","148,781","148,781"
25/03/2024,"2,090",,"4,720","9,779,690","2,080","2,090","2,070","150,219","150,219"
22/03/2024,"2,080",,"1,008","2,096,690","2,090","2,090","2,080","149,500","149,500"
21/03/2024,"2,090",,453,"951,090","2,090","2,090","2,080","150,219","150,219"
20/03/2024,"2,080",,"3,970","8,246,210","2,070","2,100","2,070","149,500","149,500"
19/03/2024,"2,080",,"1,615","3,354,500","2,090","2,090","2,070","149,500","149,500"
18/03/2024,"2,100",,"1,754","3,648,640","2,090","2,100","2,070","150,938","150,938"
15/03/2024,"2,090",,"1,588","3,317,730","2,100","2,100","2,080","150,219","150,219"
14/03/2024,"2,090",,"1,035","2,171,430","2,110","2,110","2,070","150,219","150,219"
13/03/2024,"2,070",,"7,968","16,612,400","2,090","2,090","2,070","148,781","148,781"
12/03/2024,"2,090",,952,"1,987,120","2,100","2,100","2,080","150,219","150,219"
11/03/2024,"2,100",,"1,880","3,920,440","2,070","2,110","2,070","150,938","150,938"
07/03/2024,"2,110",,"59,065","122,886,520","2,150","2,150","2,070","151,656","151,656"
06/03/2024,"2,120",,"4,239","9,011,470","2,130","2,140","2,100","152,375","152,375"
05/03/2024,"2,130",,"4,694","9,940,550","2,120","2,150","2,100","153,094","153,094"
04/03/2024,"2,120",,"4,337","9,218,680","2,150","2,150","2,120","152,375","152,375"
01/03/2024,"2,140",,"5,712","12,235,560","2,140","2,160","2,140","153,812","153,812"
29/02/2024,"2,150",,"6,062","12,983,420","2,170","2,170","2,140","154,531","154,531"
28/02/2024,"2,160",,839,"1,809,390","2,160","2,160","2,150","155,250","155,250"
27/02/2024,"2,150",,572,"1,231,200","2,140","2,170","2,140","154,531","154,531"
26/02/2024,"2,140",,859,"1,844,580","2,160","2,160","2,140","153,812","153,812"
23/02/2024,"2,160",,"1,225","2,645,080","2,170","2,170","2,150","155,250","155,250"
22/02/2024,"2,150",,"4,581","9,815,580","2,170","2,170","2,140","154,531","154,531"
21/02/2024,"2,160",,"1,232","2,643,860","2,160","2,160","2,140","155,250","155,250"
20/02/2024,"2,150",,"3,958","8,511,510","2,160","2,160","2,150","154,531","154,531"
19/02/2024,"2,160",,"2,239","4,814,740","2,170","2,180","2,150","155,250","155,250"
16/02/2024,"2,170",,859,"1,871,240","2,150","2,180","2,150","155,969","155,969"
15/02/2024,"2,150",,"1,802","3,883,360","2,160","2,170","2,150","154,531","154,531"
14/02/2024,"2,160",,471,"1,020,480","2,170","2,180","2,160","155,250","155,250"
