Date,Closing Price,Change,Trading Volume (shr),Trading Value (KHR),Opening,High,Low,Market Cap. (Mil.KHR),Full Market Cap. (Mil.KHR)
14/02/2024,"2,100",,"8,556","17,882,550","2,100","2,100","2,090","680,525","680,525"
13/02/2024,"2,100",,"3,390","7,122,100","2,110","2,120","2,090","680,525","680,525"
12/02/2024,"2,100",,"1,831","3,840,850","2,100","2,100","2,090","680,525","680,525"
09/02/2024,"2,110",,"5,499","11,534,110","2,090","2,110","2,080","683,766","683,766"
08/02/2024,"2,090",,"10,773","22,441,470","2,080","2,100","2,080","677,284","677,284"
07/02/2024,"2,090",,"15,368","31,271,990","2,090","2,100","2,080","677,284","677,284"
06/02/2024,"2,090",,"11,152","23,307,640","2,090","2,090","2,080","677,284","677,284"
05/02/2024,"2,090",,"5,904","12,301,490","2,090","2,100","2,080","677,284","677,284"
02/02/2024,"2,080",,"14,168","29,544,880","2,090","2,100","2,080","674,044","674,044"
01/02/2024,"2,090",,"4,885","10,219,530","2,090","2,100","2,090","677,284","677,284"
31/01/2024,"2,090",,"10,163","21,261,200","2,090","2,100","2,090","677,284","677,284"
30/01/2024,"2,090",,"6,402","13,387,900","2,100","2,100","2,090","677,284","677,284"
29/01/2024,"2,100",,"8,999","18,861,650","2,100","2,100","2,090","680,525","680,525"
26/01/2024,"2,100",,"16,893","35,315,550","2,090","2,100","2,090","680,525","680,525"
25/01/2024,"2,100",,367,"768,710","2,100","2,100","2,090","680,525","680,525"
24/01/2024,"2,100",,"6,116","12,785,210","2,100","2,100","2,090","680,525","680,525"
23/01/2024,"2,100",,"3,735","7,813,080","2,100","2,100","2,090","680,525","680,525"
22/01/2024,"2,100",,"7,921","16,596,750","2,100","2,100","2,080","680,525","680,525"
19/01/2024,"2,100",,"5,791","12,080,950","2,100","2,100","2,090","680,525","680,525"
18/01/2024,"2,100",,"4,689","9,818,830","2,100","2,100","2,090","680,525","680,525"
17/01/2024,"2,100",,"4,184","8,780,190","2,100","2,110","2,090","680,525","680,525"
16/01/2024,"2,100",,"11,649","24,365,030","2,100","2,100","2,080","680,525","680,525"
15/01/2024,"2,100",,"5,335","11,187,240","2,110","2,120","2,090","680,525","680,525"
12/01/2024,"2,110",,"4,295","9,016,460","2,100","2,110","2,090","683,766","683,766"
11/01/2024,"2,110",,"1,636","3,437,250","2,100","2,110","2,100","683,766","683,766"
10/01/2024,"2,110",,"5,796","12,167,480","2,090","2,110","2,090","683,766","683,766"
09/01/2024,"2,100",,"2,060","4,330,250","2,110","2,110","2,100","680,525","680,525"
08/01/2024,"2,100",,"1,810","3,809,310","2,100","2,110","2,100","680,525","680,525"
05/01/2024,"2,100",,"4,149","8,714,430","2,110","2,110","2,100","680,525","680,525"
04/01/2024,"2,110",,"11,059","23,231,080","2,120","2,120","2,090","683,766","683,766"
03/01/2024,"2,120",,"7,141","15,031,120","2,120","2,120","2,100","687,006","687,006"
02/01/2024,"2,120",,"7,687","16,197,890","2,120","2,120","2,100","687,006","687,006"
29/12/2023,"2,130",,"7,738","16,378,300","2,100","2,130","2,100","690,247","690,247"
28/12/2023,"2,120",,"4,470","9,445,140","2,120","2,120","2,100","687,006","687,006"
27/12/2023,"2,120",,"25,939","54,411,460","2,110","2,120","2,090","687,006","687,006"
26/12/2023,"2,110",,"2,844","6,009,750","2,120","2,120","2,110","683,766","683,766"
25/12/2023,"2,120",,"13,819","29,077,460","2,110","2,120","2,100","687,006","687,006"
22/12/2023,"2,120",,"37,322","77,970,170","2,090","2,120","2,080","687,006","687,006"
21/12/2023,"2,120",,"32,202","67,382,400","2,120","2,120","2,090","687,006","687,006"
20/12/2023,"2,100",,"47,383","99,417,130","2,100","2,120","2,090","680,525","680,525"
19/12/2023,"2,100",,"9,200","19,319,420","2,110","2,110","2,090","680,525","680,525"
18/12/2023,"2,110",,"22,845","47,912,050","2,100","2,110","2,090","683,766","683,766"
15/12/2023,"2,100",,"4,735","9,905,510","2,100","2,100","2,090","680,525","680,525"
14/12/2023,"2,090",,"18,583","38,845,820","2,090","2,100","2,080","677,284","677,284"
13/12/2023,"2,100",,"5,634","11,796,930","2,100","2,100","2,080","680,525","680,525"
12/12/2023,"2,100",,"9,928","20,744,290","2,100","2,100","2,080","680,525","680,525"
11/12/2023,"2,100",,"9,147","19,084,690","2,100","2,100","2,080","680,525","680,525"
08/12/2023,"2,100",,"2,775","5,807,780","2,090","2,100","2,080","680,525","680,525"
07/12/2023,"2,100",,"9,804","20,458,740","2,080","2,100","2,080","680,525","680,525"
06/12/2023,"2,090",,"10,018","20,880,010","2,080","2,090","2,080","677,284","677,284"
05/12/2023,"2,090",,"10,593","22,059,190","2,090","2,090","2,080","677,284","677,284"
04/12/2023,"2,090",,"7,193","14,998,120","2,090","2,090","2,080","677,284","677,284"
01/12/2023,"2,090",,"9,857","20,509,480","2,090","2,090","2,080","677,284","677,284"
30/11/2023,"2,090",,"4,551","9,477,710","2,080","2,090","2,080","677,284","677,284"
29/11/2023,"2,090",,"5,828","12,148,830","2,080","2,090","2,080","677,284","677,284"
24/11/2023,"2,090",,"2,040","4,261,220","2,090","2,100","2,080","677,284","677,284"
23/11/2023,"2,090",,"2,745","5,697,050","2,070","2,090","2,070","677,284","677,284"
22/11/2023,"2,100",,"1,493","3,101,600","2,070","2,100","2,070","680,525","680,525"
21/11/2023,"2,100",,"23,802","49,398,450","2,100","2,100","2,060","680,525","680,525"
20/11/2023,"2,090",,"23,118","48,000,710","2,090","2,090","2,060","677,284","677,284"
17/11/2023,"2,100",,"16,375","34,372,350","2,110","2,110","2,090","680,525","680,525"
16/11/2023,"2,110",,"17,260","36,257,510","2,100","2,110","2,090","683,766","683,766"
15/11/2023,"2,100",,"4,832","10,078,030","2,090","2,100","2,080","680,525","680,525"
14/11/2023,"2,090",,"8,578","17,937,630","2,110","2,110","2,090","677,284","677,284"
13/11/2023,"2,110",,"5,606","11,758,740","2,110","2,110","2,090","683,766","683,766"
10/11/2023,"2,110",,"11,371","23,812,160","2,110","2,110","2,090","683,766","683,766"
08/11/2023,"2,110",,"12,316","25,723,690","2,100","2,110","2,080","683,766","683,766"
07/11/2023,"2,100",,"7,966","16,716,280","2,100","2,110","2,090","680,525","680,525"
06/11/2023,"2,110",,"3,344","7,019,450","2,120","2,120","2,090","683,766","683,766"
03/11/2023,"2,120",,"3,644","7,672,220","2,110","2,120","2,090","687,006","687,006"
02/11/2023,"2,120",,"12,243","25,832,800","2,120","2,120","2,100","687,006","687,006"
01/11/2023,"2,120",,"28,838","60,867,170","2,110","2,120","2,100","687,006","687,006"
31/10/2023,"2,110",,"23,252","48,693,690","2,090","2,110","2,070","683,766","683,766"
30/10/2023,"2,090",,"6,750","14,001,850","2,060","2,090","2,060","677,284","677,284"
27/10/2023,"2,090",,"12,649","26,247,230","2,090","2,090","2,070","677,284","677,284"
26/10/2023,"2,090",,"8,934","18,571,720","2,080","2,090","2,070","677,284","677,284"
25/10/2023,"2,090",,"30,167","62,776,370","2,100","2,100","2,070","677,284","677,284"
24/10/2023,"2,100",,"13,696","28,474,920","2,100","2,100","2,070","680,525","680,525"
23/10/2023,"2,100",,"30,295","63,259,990","2,100","2,110","2,080","680,525","680,525"
20/10/2023,"2,120",,"18,835","39,718,580","2,110","2,120","2,090","687,006","687,006"
19/10/2023,"2,110",,"3,474","7,320,430","2,120","2,120","2,100","683,766","683,766"
18/10/2023,"2,120",,"4,359","9,179,540","2,100","2,120","2,100","687,006","687,006"
17/10/2023,"2,120",,"5,246","11,056,280","2,120","2,130","2,100","687,006","687,006"
16/10/2023,"2,120",,"1,260","2,653,530","2,130","2,130","2,100","687,006","687,006"
12/10/2023,"2,130",,"7,699","16,326,200","2,100","2,130","2,090","690,247","690,247"
11/10/2023,"2,100",,"4,078","8,553,560","2,080","2,100","2,080","680,525","680,525"
10/10/2023,"2,080",,"19,795","41,131,160","2,090","2,090","2,070","674,044","674,044"
09/10/2023,"2,090",,"5,112","10,712,410","2,120","2,120","2,090","677,284","677,284"
06/10/2023,"2,120",,471,"990,820","2,120","2,120","2,100","687,006","687,006"
