Date,Closing Price,Change,Trading Volume (shr),Trading Value (KHR),Opening,High,Low,Market Cap. (Mil.KHR),Full Market Cap. (Mil.KHR)
14/03/2024,"2,780",,244,"678,320","2,780","2,780","2,780","111,200","111,200"
13/03/2024,"2,790",,16,"44,590","2,790","2,790","2,780","111,600","111,600"
12/03/2024,"2,790",,7,"19,530","2,790","2,790","2,790","111,600","111,600"
11/03/2024,"2,790",,516,"1,439,640","2,790","2,790","2,790","111,600","111,600"
07/03/2024,"2,790",,21,"58,260","2,790","2,790","2,760","111,600","111,600"
06/03/2024,"2,770",,75,"206,320","2,750","2,780","2,750","110,800","110,800"
05/03/2024,"2,770",,"2,308","6,358,000","2,760","2,780","2,750","110,800","110,800"
04/03/2024,"2,800",,25,"69,560","2,800","2,800","2,770","112,000","112,000"
01/03/2024,"2,780",,115,"319,700","2,780","2,780","2,780","111,200","111,200"
29/02/2024,"2,800",,96,"266,120","2,800","2,800","2,760","112,000","112,000"
28/02/2024,"2,790",,20,"55,710","2,800","2,800","2,770","111,600","111,600"
27/02/2024,"2,800",,95,"262,790","2,800","2,800","2,760","112,000","112,000"
26/02/2024,"2,800",,"1,023","2,845,530","2,780","2,800","2,760","112,000","112,000"
23/02/2024,"2,780",,126,"353,210","2,810","2,810","2,780","111,200","111,200"
22/02/2024,"2,800",,71,"198,500","2,790","2,800","2,780","112,000","112,000"
21/02/2024,"2,800",,220,"615,730","2,790","2,810","2,790","112,000","112,000"
20/02/2024,"2,790",,208,"580,320","2,790","2,790","2,790","111,600","111,600"
19/02/2024,"2,780",,"3,126","8,680,420","2,780","2,810","2,750","111,200","111,200"
16/02/2024,"2,800",,282,"789,380","2,830","2,830","2,790","112,000","112,000"
15/02/2024,"2,810",,56,"157,420","2,830","2,830","2,810","112,400","112,400"
14/02/2024,"2,800",,214,"595,000","2,780","2,800","2,780","112,000","112,000"
13/02/2024,"2,810",,175,"489,610","2,780","2,810","2,780","112,400","112,400"
12/02/2024,"2,810",,20,"56,030","2,800","2,810","2,800","112,400","112,400"
09/02/2024,"2,810",,34,"95,490","2,830","2,830","2,780","112,400","112,400"
08/02/2024,"2,780",,822,"2,285,220","2,780","2,790","2,780","111,200","111,200"
07/02/2024,"2,790",,142,"396,200","2,800","2,800","2,790","111,600","111,600"
06/02/2024,"2,800",,7,"19,600","2,800","2,800","2,800","112,000","112,000"
05/02/2024,"2,800",,139,"389,240","2,820","2,820","2,800","112,000","112,000"
02/02/2024,"2,800",,"4,363","12,091,940","2,760","2,800","2,760","112,000","112,000"
01/02/2024,"2,800",,601,"1,671,350","2,780","2,800","2,780","112,000","112,000"
31/01/2024,"2,790",,260,"725,470","2,800","2,800","2,790","111,600","111,600"
30/01/2024,"2,790",,"1,327","3,703,270","2,800","2,800","2,790","111,600","111,600"
29/01/2024,"2,800",,727,"2,035,880","2,810","2,810","2,800","112,000","112,000"
26/01/2024,"2,810",,71,"199,430","2,790","2,810","2,790","112,400","112,400"
25/01/2024,"2,810",,270,"756,230","2,830","2,830","2,800","112,400","112,400"
24/01/2024,"2,800",,110,"307,660","2,800","2,800","2,790","112,000","112,000"
23/01/2024,"2,800",,32,"89,800","2,820","2,820","2,800","112,000","112,000"
22/01/2024,"2,810",,79,"222,130","2,820","2,820","2,810","112,400","112,400"
19/01/2024,"2,820",,15,"42,290","2,820","2,820","2,810","112,800","112,800"
18/01/2024,"2,810",,49,"137,690","2,810","2,810","2,810","112,400","112,400"
