Date,Closing Price,Change,Trading Volume (shr),Trading Value (KHR),Opening,High,Low,Market Cap. (Mil.KHR),Full Market Cap. (Mil.KHR)
08/01/2024,"10,000",,"27,636","276,004,400","10,020","10,020","9,960","4,331,630","4,331,630"
05/01/2024,"10,020",,"15,628","156,344,660","9,980","10,040","9,980","4,340,293","4,340,293"
04/01/2024,"10,020",,"17,929","179,251,280","10,000","10,020","9,980","4,340,293","4,340,293"
03/01/2024,"10,020",,"56,187","562,570,320","10,060","10,060","9,980","4,340,293","4,340,293"
02/01/2024,"10,060",,"20,165","202,586,040","10,060","10,100","10,020","4,357,620","4,357,620"
29/12/2023,"10,060",,"23,609","237,424,380","10,080","10,080","10,040","4,357,620","4,357,620"
28/12/2023,"10,040",,"26,120","262,257,140","10,060","10,100","10,020","4,348,957","4,348,957"
27/12/2023,"10,040",,"52,945","531,314,480","10,040","10,080","10,000","4,348,957","4,348,957"
26/12/2023,"10,040",,"82,493","833,774,360","10,180","10,200","10,040","4,348,957","4,348,957"
25/12/2023,"10,160",,"70,334","711,717,640","10,060","10,200","10,040","4,400,936","4,400,936"
22/12/2023,"10,020",,"113,135","1,129,026,140","9,880","10,080","9,880","4,340,293","4,340,293"
21/12/2023,"9,860",,"34,733","340,712,600","9,740","9,900","9,740","4,270,987","4,270,987"
20/12/2023,"9,740",,"24,596","239,181,020","9,720","9,760","9,700","4,219,008","4,219,008"
19/12/2023,"9,720",,"34,202","332,689,280","9,720","9,760","9,700","4,210,345","4,210,345"
18/12/2023,"9,720",,"31,268","303,675,740","9,720","9,740","9,700","4,210,345","4,210,345"
15/12/2023,"9,720",,"32,283","313,410,600","9,700","9,760","9,680","4,210,345","4,210,345"
14/12/2023,"9,700",,"21,301","206,417,580","9,660","9,800","9,640","4,201,681","4,201,681"
13/12/2023,"9,620",,"10,229","98,269,980","9,600","9,660","9,600","4,167,028","4,167,028"
12/12/2023,"9,600",,"21,386","205,211,380","9,600","9,660","9,580","4,158,365","4,158,365"
11/12/2023,"9,600",,"36,627","350,919,440","9,580","9,620","9,560","4,158,365","4,158,365"
08/12/2023,"9,600",,"11,574","111,023,260","9,700","9,700","9,580","4,158,365","4,158,365"
07/12/2023,"9,580",,"35,739","342,148,760","9,540","9,700","9,540","4,149,702","4,149,702"
06/12/2023,"9,560",,"32,559","310,893,460","9,580","9,580","9,540","4,141,038","4,141,038"
05/12/2023,"9,580",,"37,297","356,775,860","9,560","9,580","9,540","4,149,702","4,149,702"
