Date,Closing Price,Change,Trading Volume (shr),Trading Value (KHR),Opening,High,Low,Market Cap. (Mil.KHR),Full Market Cap. (Mil.KHR)
13/03/2024,"4,000",,2,"7,860","3,860","4,000","3,860","102,840","102,840"
12/03/2024,"3,970",,327,"1,280,320","3,970","3,980","3,900","102,069","102,069"
11/03/2024,"3,950",,377,"1,524,120","4,320","4,320","3,950","101,554","101,554"
07/03/2024,"3,990",,24,"95,790","4,000","4,000","3,990","102,583","102,583"
06/03/2024,"4,000",,5,"19,790","4,000","4,000","3,810","102,840","102,840"
05/03/2024,"4,000",,52,"208,620","4,200","4,200","4,000","102,840","102,840"
04/03/2024,"4,100",,457,"1,884,480","4,360","4,360","3,990","105,411","105,411"
01/03/2024,"3,990",,92,"366,280","3,990","3,990","3,970","102,583","102,583"
29/02/2024,"3,980",,231,"909,730","3,930","4,080","3,930","102,326","102,326"
28/02/2024,"3,930",,337,"1,336,970","4,000","4,000","3,910","101,040","101,040"
27/02/2024,"4,000",,52,"207,380","4,040","4,040","3,980","102,840","102,840"
26/02/2024,"4,000",,295,"1,143,790","4,260","4,260","3,800","102,840","102,840"
23/02/2024,"4,220",,2,"8,440","4,220","4,220","4,220","108,496","108,496"
22/02/2024,"4,060",,29,"118,120","4,140","4,140","4,060","104,383","104,383"
21/02/2024,"4,020",,437,"1,877,380","4,360","4,360","4,020","103,354","103,354"
20/02/2024,"3,990",,606,"2,421,860","3,710","4,000","3,710","102,583","102,583"
19/02/2024,"3,960",,18,"72,180","4,140","4,140","3,960","101,812","101,812"
16/02/2024,"4,000",,71,"284,150","4,180","4,180","3,970","102,840","102,840"
15/02/2024,"4,060",,501,"2,034,080","4,080","4,080","4,060","104,383","104,383"
14/02/2024,"4,080",,26,"106,080","4,080","4,080","4,080","104,897","104,897"
13/02/2024,"4,080",,79,"322,360","4,120","4,120","4,080","104,897","104,897"
12/02/2024,"4,100",,18,"73,480","4,100","4,100","4,080","105,411","105,411"
09/02/2024,"4,160",,10,"41,820","4,380","4,380","4,160","106,954","106,954"
08/02/2024,"4,080",,10,"40,500","3,980","4,160","3,980","104,897","104,897"
07/02/2024,"4,080",,138,"562,740","4,280","4,280","4,060","104,897","104,897"
06/02/2024,"4,100",,"1,144","4,577,480","3,950","4,180","3,950","105,411","105,411"
05/02/2024,"4,240",,500,"2,045,040","4,280","4,280","3,920","109,010","109,010"
02/02/2024,"4,020",,"2,965","11,669,120","4,120","4,120","3,900","103,354","103,354"
01/02/2024,"4,000",,649,"2,620,840","4,020","4,200","4,000","102,840","102,840"
31/01/2024,"4,020",,"2,691","11,010,640","4,100","4,100","4,000","103,354","103,354"
30/01/2024,"4,060",,"2,669","10,732,200","4,300","4,680","3,950","104,383","104,383"
29/01/2024,"4,300",,980,"3,992,740","4,140","4,300","3,950","110,553","110,553"
26/01/2024,"3,930",,53,"208,770","3,940","3,940","3,930","101,040","101,040"
25/01/2024,"3,940",,219,"865,770","4,020","4,020","3,940","101,297","101,297"
24/01/2024,"3,960",,"1,755","7,373,850","4,020","4,020","3,900","101,812","101,812"
23/01/2024,"4,020",,108,"433,180","4,020","4,020","4,000","103,354","103,354"
22/01/2024,"4,020",,19,"76,240","4,040","4,040","4,000","103,354","103,354"
19/01/2024,"4,040",,"1,900","7,605,480","4,020","4,040","4,000","103,868","103,868"
18/01/2024,"4,020",,268,"1,071,360","4,020","4,020","3,980","103,354","103,354"
17/01/2024,"4,040",,355,"1,425,900","4,060","4,060","4,000","103,868","103,868"
