Date,Closing Price,Change,Trading Volume (shr),Trading Value (KHR),Opening,High,Low,Market Cap. (Mil.KHR),Full Market Cap. (Mil.KHR)
14/02/2024,"2,180",,470,"1,020,940","2,170","2,180","2,170","14,086","40,246"
13/02/2024,"2,180",,640,"1,394,330","2,180","2,190","2,170","14,086","40,246"
12/02/2024,"2,180",,"2,959","6,421,510","2,190","2,190","2,160","14,086","40,246"
09/02/2024,"2,190",,601,"1,305,450","2,190","2,190","2,170","14,151","40,431"
08/02/2024,"2,180",,"10,110","21,968,750","2,200","2,200","2,160","14,086","40,246"
07/02/2024,"2,200",,"21,825","47,705,390","2,170","2,210","2,150","14,215","40,615"
06/02/2024,"2,130",,"2,218","4,722,730","2,120","2,130","2,110","13,763","39,323"
05/02/2024,"2,120",,114,"242,190","2,120","2,130","2,120","13,698","39,138"
02/02/2024,"2,130",,959,"2,015,370","2,100","2,130","2,100","13,763","39,323"
01/02/2024,"2,130",,492,"1,050,230","2,110","2,130","2,110","13,763","39,323"
31/01/2024,"2,130",,128,"270,230","2,130","2,130","2,100","13,763","39,323"
30/01/2024,"2,130",,257,"548,140","2,130","2,200","2,120","13,763","39,323"
29/01/2024,"2,110",,"2,587","5,435,660","2,120","2,120","2,100","13,634","38,954"
26/01/2024,"2,110",,"1,393","2,940,170","2,120","2,120","2,110","13,634","38,954"
25/01/2024,"2,120",,71,"150,610","2,120","2,130","2,120","13,698","39,138"
24/01/2024,"2,100",,"3,828","8,068,210","2,110","2,110","2,100","13,569","38,769"
23/01/2024,"2,120",,149,"315,880","2,140","2,120","2,120","13,698","39,138"
22/01/2024,"2,140",,138,"293,990","2,130","2,140","2,130","13,828","39,508"
19/01/2024,"2,130",,31,"66,020","2,130","2,130","2,120","13,763","39,323"
18/01/2024,"2,120",,"1,416","3,001,220","2,120","2,130","2,110","13,698","39,138"
17/01/2024,"2,120",,27,"57,250","2,130","2,130","2,110","13,698","39,138"
16/01/2024,"2,100",,"3,202","6,725,850","2,140","2,140","2,100","13,569","38,769"
15/01/2024,"2,110",,239,"503,270","2,150","2,150","2,100","13,634","38,954"
12/01/2024,"2,110",,"2,343","4,930,020","2,110","2,110","2,100","13,634","38,954"
11/01/2024,"2,120",,"1,573","3,314,030","2,110","2,120","2,100","13,698","39,138"
10/01/2024,"2,110",,482,"1,013,770","2,100","2,120","2,100","13,634","38,954"
09/01/2024,"2,120",,"1,188","2,508,910","2,140","2,140","2,110","13,698","39,138"
08/01/2024,"2,120",,"1,928","4,093,030","2,130","2,130","2,110","13,698","39,138"
05/01/2024,"2,110",,401,"847,630","2,120","2,140","2,110","13,634","38,954"
04/01/2024,"2,130",,"3,529","7,448,290","2,130","2,130","2,100","13,763","39,323"
03/01/2024,"2,130",,"1,098","2,315,490","2,140","2,140","2,100","13,763","39,323"
02/01/2024,"2,130",,797,"1,693,430","2,120","2,140","2,120","13,763","39,323"
29/12/2023,"2,140",,"1,246","2,654,140","2,130","2,140","2,130","13,828","39,508"
28/12/2023,"2,140",,"1,361","2,894,840","2,130","2,140","2,100","13,828","39,508"
27/12/2023,"2,130",,432,"921,820","2,120","2,140","2,120","13,763","39,323"
26/12/2023,"2,140",,"2,682","5,760,240","2,150","2,160","2,130","13,828","39,508"
25/12/2023,"2,140",,"1,917","4,094,720","2,140","2,150","2,120","13,828","39,508"
22/12/2023,"2,130",,"3,707","7,816,110","2,090","2,130","2,090","13,763","39,323"
21/12/2023,"2,110",,"4,508","9,435,040","2,120","2,120","2,090","13,634","38,954"
20/12/2023,"2,110",,"8,276","17,453,600","2,110","2,120","2,100","13,634","38,954"
19/12/2023,"2,110",,"2,057","4,332,170","2,110","2,110","2,100","13,634","38,954"
18/12/2023,"2,110",,"1,423","2,980,830","2,110","2,110","2,090","13,634","38,954"
15/12/2023,"2,110",,"5,626","11,822,040","2,110","2,120","2,090","13,634","38,954"
14/12/2023,"2,110",,"11,495","24,000,620","2,100","2,120","2,080","13,634","38,954"
13/12/2023,"2,120",,114,"241,580","2,120","2,120","2,100","13,698","39,138"
12/12/2023,"2,130",,"3,190","6,731,920","2,110","2,130","2,110","13,763","39,323"
11/12/2023,"2,110",,"25,307","52,803,710","2,100","2,110","2,070","13,634","38,954"
08/12/2023,"2,100",,"12,151","25,361,450","2,100","2,110","2,080","13,569","38,769"
07/12/2023,"2,110",,"8,449","17,605,190","2,100","2,110","2,080","13,634","38,954"
06/12/2023,"2,080",,"5,505","11,465,260","2,090","2,110","2,080","13,440","38,400"
05/12/2023,"2,080",,"6,478","13,479,800","2,110","2,110","2,080","13,440","38,400"
04/12/2023,"2,110",,"2,509","5,269,600","2,100","2,110","2,100","13,634","38,954"
01/12/2023,"2,110",,"4,941","10,331,010","2,110","2,110","2,080","13,634","38,954"
30/11/2023,"2,100",,775,"1,620,890","2,100","2,110","2,090","13,569","38,769"
29/11/2023,"2,100",,"7,138","14,915,900","2,100","2,110","2,080","13,569","38,769"
24/11/2023,"2,110",,"9,985","20,852,540","2,110","2,110","2,080","13,634","38,954"
23/11/2023,"2,120",,"3,606","7,565,710","2,120","2,120","2,080","13,698","39,138"
22/11/2023,"2,120",,"2,314","4,902,540","2,120","2,120","2,110","13,698","39,138"
21/11/2023,"2,120",,462,"974,780","2,110","2,120","2,100","13,698","39,138"
20/11/2023,"2,110",,"1,598","3,357,990","2,120","2,120","2,100","13,634","38,954"
17/11/2023,"2,110",,"2,213","4,668,440","2,110","2,120","2,100","13,634","38,954"
16/11/2023,"2,110",,"2,724","5,737,920","2,110","2,110","2,100","13,634","38,954"
15/11/2023,"2,100",,"2,956","6,210,120","2,100","2,110","2,100","13,569","38,769"
14/11/2023,"2,100",,"4,969","10,477,150","2,110","2,120","2,100","13,569","38,769"
13/11/2023,"2,110",,661,"1,398,110","2,160","2,160","2,110","13,634","38,954"
10/11/2023,"2,110",,289,"615,910","2,150","2,150","2,110","13,634","38,954"
08/11/2023,"2,120",,"10,836","22,806,670","2,110","2,120","2,090","13,698","39,138"
07/11/2023,"2,100",,"2,557","5,375,260","2,120","2,120","2,100","13,569","38,769"
06/11/2023,"2,120",,"1,121","2,376,460","2,120","2,120","2,110","13,698","39,138"
03/11/2023,"2,120",,"3,050","6,446,240","2,120","2,120","2,100","13,698","39,138"
02/11/2023,"2,120",,437,"927,530","2,130","2,140","2,110","13,698","39,138"
01/11/2023,"2,140",,"16,658","35,302,880","2,110","2,140","2,100","13,828","39,508"
31/10/2023,"2,100",,205,"431,680","2,120","2,120","2,100","13,569","38,769"
30/10/2023,"2,110",,"1,059","2,242,570","2,120","2,120","2,080","13,634","38,954"
27/10/2023,"2,110",,111,"232,450","2,120","2,120","2,090","13,634","38,954"
26/10/2023,"2,090",,"9,865","20,566,490","2,150","2,150","2,070","13,505","38,585"
25/10/2023,"2,110",,"4,508","9,499,170","2,120","2,140","2,100","13,634","38,954"
24/10/2023,"2,140",,368,"781,820","2,150","2,150","2,120","13,828","39,508"
