Date,Closing Price,Change,Trading Volume (shr),Trading Value (KHR),Opening,High,Low,Market Cap. (Mil.KHR),Full Market Cap. (Mil.KHR)
10/01/2024,"12,600",,334,"4,204,980","12,560","12,600","12,500","1,080,727","5,673,816"
09/01/2024,"12,560",,357,"4,481,500","12,500","12,560","12,500","1,077,296","5,655,804"
08/01/2024,"12,560",,418,"5,241,240","12,580","12,580","12,500","1,077,296","5,655,804"
05/01/2024,"12,580",,50,"626,000","12,520","12,600","12,500","1,079,011","5,664,810"
04/01/2024,"12,540",,115,"1,444,240","12,580","12,580","12,540","1,075,580","5,646,797"
03/01/2024,"12,580",,206,"2,584,480","12,600","12,600","12,500","1,079,011","5,664,810"
02/01/2024,"12,600",,744,"9,367,380","12,580","12,600","12,580","1,080,727","5,673,816"
29/12/2023,"12,580",,542,"6,801,360","12,560","12,600","12,500","1,079,011","5,664,810"
28/12/2023,"12,560",,836,"10,447,680","12,560","12,560","12,440","1,077,296","5,655,804"
27/12/2023,"12,560",,"5,395","65,614,020","12,560","12,600","12,000","1,077,296","5,655,804"
26/12/2023,"12,560",,568,"7,115,060","12,580","12,580","12,500","1,077,296","5,655,804"
25/12/2023,"12,580",,769,"9,634,460","12,500","12,640","12,440","1,079,011","5,664,810"
22/12/2023,"12,560",,"1,517","18,949,420","12,620","12,620","12,420","1,077,296","5,655,804"
21/12/2023,"12,480",,617,"7,659,020","12,480","12,480","12,320","1,070,434","5,619,779"
20/12/2023,"12,480",,642,"7,970,260","12,440","12,500","12,400","1,070,434","5,619,779"
19/12/2023,"12,440",,163,"2,031,460","12,520","12,520","12,440","1,067,003","5,601,767"
18/12/2023,"12,500",,"1,608","19,938,300","12,480","12,500","12,340","1,072,150","5,628,785"
15/12/2023,"12,480",,401,"4,984,860","12,480","12,500","12,380","1,070,434","5,619,779"
14/12/2023,"12,480",,"1,665","20,663,360","12,420","12,480","12,340","1,070,434","5,619,779"
13/12/2023,"12,420",,"1,147","14,155,280","12,300","12,480","12,300","1,065,288","5,592,761"
12/12/2023,"12,300",,400,"4,940,000","12,400","12,400","12,300","1,054,995","5,538,725"
11/12/2023,"12,400",,639,"7,905,200","12,340","12,420","12,320","1,063,572","5,583,755"
