Date,Closing Price,Change,Trading Volume (shr),Trading Value (KHR),Opening,High,Low,Market Cap. (Mil.KHR),Full Market Cap. (Mil.KHR)
26/03/2024,"2,570",,"18,017","45,904,360","2,540","2,580","2,540","5,035,327","5,035,327"
25/03/2024,"2,540",,"6,966","17,747,880","2,560","2,560","2,540","4,976,549","4,976,549"
22/03/2024,"2,560",,"6,176","15,607,910","2,550","2,560","2,500","5,015,734","5,015,734"
21/03/2024,"2,560",,"4,574","11,699,420","2,560","2,580","2,550","5,015,734","5,015,734"
20/03/2024,"2,560",,"8,834","22,527,230","2,540","2,560","2,540","5,015,734","5,015,734"
19/03/2024,"2,560",,"2,562","6,561,040","2,560","2,580","2,550","5,015,734","5,015,734"
18/03/2024,"2,560",,"3,103","7,993,110","2,590","2,590","2,550","5,015,734","5,015,734"
15/03/2024,"2,590",,395,"1,022,650","2,600","2,600","2,580","5,074,512","5,074,512"
14/03/2024,"2,580",,"8,332","21,091,530","2,560","2,600","2,450","5,054,920","5,054,920"
13/03/2024,"2,600",,"7,966","20,478,960","2,590","2,600","2,550","5,094,105","5,094,105"
12/03/2024,"2,600",,"6,059","15,675,370","2,600","2,600","2,560","5,094,105","5,094,105"
11/03/2024,"2,600",,"12,087","31,301,250","2,590","2,600","2,560","5,094,105","5,094,105"
07/03/2024,"2,590",,"44,527","114,342,000","2,560","2,600","2,560","5,074,512","5,074,512"
06/03/2024,"2,560",,"13,473","34,342,340","2,550","2,560","2,540","5,015,734","5,015,734"
05/03/2024,"2,550",,"4,737","12,110,750","2,570","2,570","2,550","4,996,142","4,996,142"
04/03/2024,"2,570",,"4,232","10,838,330","2,560","2,580","2,560","5,035,327","5,035,327"
01/03/2024,"2,560",,"6,751","17,276,610","2,560","2,560","2,550","5,015,734","5,015,734"
29/02/2024,"2,560",,458,"1,173,470","2,580","2,580","2,550","5,015,734","5,015,734"
28/02/2024,"2,560",,"17,247","43,890,180","2,560","2,560","2,540","5,015,734","5,015,734"
27/02/2024,"2,560",,"6,016","15,331,050","2,540","2,560","2,540","5,015,734","5,015,734"
26/02/2024,"2,550",,"18,221","45,095,740","2,570","2,570","2,310","4,996,142","4,996,142"
23/02/2024,"2,560",,"4,277","10,963,800","2,560","2,570","2,550","5,015,734","5,015,734"
22/02/2024,"2,560",,840,"2,145,850","2,560","2,560","2,540","5,015,734","5,015,734"
21/02/2024,"2,560",,"11,511","29,360,040","2,570","2,570","2,540","5,015,734","5,015,734"
20/02/2024,"2,560",,923,"2,365,560","2,560","2,560","2,550","5,015,734","5,015,734"
19/02/2024,"2,560",,"2,030","5,199,620","2,540","2,570","2,540","5,015,734","5,015,734"
16/02/2024,"2,540",,"1,993","5,066,810","2,550","2,550","2,540","4,976,549","4,976,549"
15/02/2024,"2,540",,"7,964","20,287,660","2,570","2,570","2,540","4,976,549","4,976,549"
14/02/2024,"2,540",,"14,468","36,909,630","2,560","2,560","2,540","4,976,549","4,976,549"
13/02/2024,"2,570",,"15,565","39,541,070","2,570","2,570","2,530","5,035,327","5,035,327"
12/02/2024,"2,560",,"4,773","12,194,840","2,550","2,580","2,550","5,015,734","5,015,734"
09/02/2024,"2,570",,"3,739","9,626,060","2,590","2,590","2,550","5,035,327","5,035,327"
08/02/2024,"2,560",,"3,116","7,949,090","2,560","2,560","2,540","5,015,734","5,015,734"
